,over_draft,credit_usage,credit_history,purpose,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,'<0',6.0,'critical/other existing credit',radio/tv,'no known savings','>=7',4.0,'male single',none,4.0,'real estate',67.0,none,own,2.0,skilled,1.0,yes,yes,0
1,'0<=X<200',48.0,'existing paid',radio/tv,'<100','1<=X<4',2.0,'female div/dep/mar',none,2.0,'real estate',22.0,none,own,1.0,skilled,1.0,none,yes,1
2,'no checking',12.0,'critical/other existing credit',education,'<100','4<=X<7',2.0,'male single',none,3.0,'real estate',49.0,none,own,1.0,'unskilled resident',2.0,none,yes,0
3,'<0',42.0,'existing paid',furniture/equipment,'<100','4<=X<7',2.0,'male single',guarantor,4.0,'life insurance',45.0,none,'for free',1.0,skilled,2.0,none,yes,0
4,'<0',24.0,'delayed previously','new car','<100','1<=X<4',3.0,'male single',none,4.0,'no known property',53.0,none,'for free',2.0,skilled,2.0,none,yes,1
5,'no checking',36.0,'existing paid',education,'no known savings','1<=X<4',2.0,'male single',none,4.0,'no known property',35.0,none,'for free',1.0,'unskilled resident',2.0,yes,yes,0
6,'no checking',24.0,'existing paid',furniture/equipment,'500<=X<1000','>=7',3.0,'male single',none,4.0,'life insurance',53.0,none,own,1.0,skilled,1.0,none,yes,0
7,'0<=X<200',36.0,'existing paid','used car','<100','1<=X<4',2.0,'male single',none,2.0,car,35.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
8,'no checking',12.0,'existing paid',radio/tv,'>=1000','4<=X<7',2.0,'male div/sep',none,4.0,'real estate',61.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
9,'0<=X<200',30.0,'critical/other existing credit','new car','<100',unemployed,4.0,'male mar/wid',none,2.0,car,28.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,1
10,'0<=X<200',12.0,'existing paid','new car','<100','<1',3.0,'female div/dep/mar',none,1.0,car,25.0,none,rent,1.0,skilled,1.0,none,yes,1
11,'<0',48.0,'existing paid',business,'<100','<1',3.0,'female div/dep/mar',none,4.0,'life insurance',24.0,none,rent,1.0,skilled,1.0,none,yes,1
12,'0<=X<200',12.0,'existing paid',radio/tv,'<100','1<=X<4',1.0,'female div/dep/mar',none,1.0,car,22.0,none,own,1.0,skilled,1.0,yes,yes,0
13,'<0',24.0,'critical/other existing credit','new car','<100','>=7',4.0,'male single',none,4.0,car,60.0,none,own,2.0,'unskilled resident',1.0,none,yes,1
14,'<0',15.0,'existing paid','new car','<100','1<=X<4',2.0,'female div/dep/mar',none,4.0,car,28.0,none,rent,1.0,skilled,1.0,none,yes,0
15,'<0',24.0,'existing paid',radio/tv,'100<=X<500','1<=X<4',4.0,'female div/dep/mar',none,2.0,car,32.0,none,own,1.0,'unskilled resident',1.0,none,yes,1
16,'no checking',24.0,'critical/other existing credit',radio/tv,'no known savings','>=7',4.0,'male single',none,4.0,'life insurance',53.0,none,own,2.0,skilled,1.0,none,yes,0
17,'<0',30.0,'no credits/all paid',business,'no known savings','<1',2.0,'male single',none,3.0,car,25.0,bank,own,3.0,skilled,1.0,none,yes,0
18,'0<=X<200',24.0,'existing paid','used car','<100','>=7',4.0,'female div/dep/mar',none,2.0,'no known property',44.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
19,'no checking',24.0,'existing paid',radio/tv,'500<=X<1000','>=7',3.0,'male single',none,2.0,car,31.0,none,own,1.0,skilled,2.0,yes,yes,0
20,'no checking',9.0,'critical/other existing credit','new car','<100','1<=X<4',4.0,'male single',none,4.0,car,48.0,none,own,3.0,skilled,1.0,yes,yes,0
21,'<0',6.0,'existing paid',radio/tv,'500<=X<1000','1<=X<4',2.0,'male single',none,3.0,'real estate',44.0,none,rent,1.0,skilled,2.0,none,yes,0
22,'<0',10.0,'critical/other existing credit','new car','<100','<1',1.0,'male single',none,3.0,'real estate',48.0,none,rent,2.0,'unskilled resident',2.0,none,no,0
23,'0<=X<200',12.0,'critical/other existing credit','used car','100<=X<500','<1',3.0,'male single',none,4.0,'life insurance',44.0,none,own,1.0,skilled,1.0,none,yes,0
